day,0,1,2,Sentiment,Sentiment_diff,strong_positive
2022-03-24,19663,19300,4210,Positive,15453,1
2022-04-13,7282,5328,1514,Positive,5768,1
2022-04-14,11928,7934,2351,Positive,9577,1
2022-04-15,18976,11146,3387,Positive,15589,1
2022-04-16,20217,12585,3440,Positive,16777,1
2022-04-17,3454,2698,1086,Positive,2368,0
2022-04-18,20947,16277,6101,Positive,14846,0
2022-04-19,22070,15594,4765,Positive,17305,1
2022-04-20,4972,3432,1041,Positive,3931,1
2022-04-21,12553,8953,3294,Positive,9259,1
2022-04-22,15916,11699,3622,Positive,12294,1
2022-04-27,813,618,259,Positive,554,0
2022-04-28,9729,7864,2848,Positive,6881,0
2022-04-29,8679,6536,2571,Positive,6108,0
2022-04-30,16117,10302,3707,Positive,12410,1
2022-05-01,19779,13698,4722,Positive,15057,1
2022-05-02,15277,11936,4021,Positive,11256,1
2022-05-10,5489,4853,1634,Positive,3855,0
2022-05-11,7221,6865,2960,Positive,4261,0
2022-05-12,17133,16250,6997,Positive,10136,0
2022-05-13,16441,14853,5574,Positive,10867,0
2022-05-22,8971,6771,1957,Positive,7014,1
2022-05-23,2096,1623,602,Positive,1494,0
2022-05-24,7644,6647,2196,Positive,5448,0
2022-05-25,5279,4849,1507,Positive,3772,1
2022-05-26,7448,7799,2342,Positive,5106,0
2022-05-27,5075,4742,1852,Positive,3223,0
2022-05-28,2016,1689,565,Positive,1451,1
2022-05-29,6943,6093,1909,Positive,5034,1
2022-05-30,6547,7528,2037,Positive,4510,0
2022-05-31,6732,7919,2069,Positive,4663,0
2022-06-01,8263,9232,2994,Positive,5269,0
2022-06-02,4163,4050,1324,Positive,2839,0
2022-06-03,11719,10132,3485,Positive,8234,0
2022-06-04,2728,2281,766,Positive,1962,1
2022-06-14,6086,5933,3318,Positive,2768,0
2022-06-15,20166,21054,9766,Positive,10400,0
2022-06-17,5410,6815,3165,Positive,2245,0
2022-06-18,10277,12950,5909,Positive,4368,0
2022-06-19,4876,5923,2354,Positive,2522,0
2022-06-23,9898,11144,3181,Positive,6717,0
2022-06-24,1717,2388,586,Positive,1131,0
2022-06-25,8698,10410,2628,Positive,6070,0
2022-06-26,11170,12981,3509,Positive,7661,0
2022-06-28,2587,3796,979,Positive,1608,0
2022-06-29,11315,14058,4057,Positive,7258,0
2022-07-02,2810,3122,986,Positive,1824,0
2022-07-03,5127,5473,1851,Positive,3276,0
2022-07-11,1886,2880,890,Positive,996,0
2022-07-12,5623,7807,2032,Positive,3591,0
2022-07-13,11011,13311,4217,Positive,6794,0
2022-07-14,13477,13687,4228,Positive,9249,0
2022-07-15,11584,12950,3269,Positive,8315,1
2022-07-16,10344,11942,3202,Positive,7142,0
2022-07-17,4794,5346,1835,Positive,2959,0
2022-08-30,4518,6172,1721,Positive,2797,0
2022-08-31,9180,12928,2958,Positive,6222,0
2022-09-01,9728,13007,3107,Positive,6621,0
2022-09-02,9611,13353,3016,Positive,6595,0
2022-09-03,4254,7089,1481,Positive,2773,0
2022-09-04,1811,3199,652,Positive,1159,0
2022-09-11,3406,4790,911,Positive,2495,1
2022-09-12,9503,12673,2831,Positive,6672,0
2022-09-13,9531,13770,3493,Positive,6038,0
2022-09-14,10809,16341,3611,Positive,7198,0
2022-10-09,3458,4529,855,Positive,2603,1
2022-10-10,8774,11535,2491,Positive,6283,1
2022-10-11,8518,12033,2452,Positive,6066,0
2022-10-12,8943,13134,2581,Positive,6362,0
2022-10-13,6176,8582,1799,Positive,4377,0
2022-10-14,4495,5890,1204,Positive,3291,1
2022-10-15,7677,11963,2019,Positive,5658,1
2022-11-07,6836,6713,2184,Positive,4652,0
2022-11-08,4058,5575,1989,Positive,2069,0
2022-11-09,8669,10408,3551,Positive,5118,0
2022-11-10,5019,5354,1502,Positive,3517,0
2022-11-11,6496,7756,2540,Positive,3956,0
